#1. Strength of upper sheet,#2. Strength of lower sheet,#3. Welding speed,#4. Focal position,#5. Bead width at faying surface,#6. Fracture load
590,590,70,0,0.82,15659.46667
590,590,60,-5,0.87,16660.73333
590,590,48,-10,1.02,18593.63333
590,590,37,-15,1.33,18619.1
590,590,26,-20,1.99,18859.83333
590,590,20,-25,2.02,18765.03333
590,780,70,0,0.76,14681.73333
590,780,60,-5,0.81,15620.36667
590,780,48,-10,1.1,18561.8
590,780,40,-10,1.09,18555.93333
590,780,32,-15,1.41,18899.8
590,780,24,-20,2.01,18918.9
590,980,70,0,0.74,16050.63333
590,980,60,-5,0.86,17751.66667
590,980,48,-10,1.02,18583.33333
590,980,40,-10,1.17,18934.5
590,980,32,-15,1.39,18945.2
590,980,24,-20,2.07,18673.46667
590,1180,70,0,0.81,15546.73333
590,1180,60,-5,1.04,17592.66667
590,1180,48,-10,1.07,18907.56667
590,1180,36,-10,1.21,18692.36667
590,1180,32,-15,1.45,19038.46667
590,1180,24,-20,1.98,18625.33333
590,1500,70,0,0.74,16006
590,1500,60,-5,0.97,18453.43333
590,1500,48,-10,1,19007.73333
590,1500,40,-10,1.11,18997.36667
590,1500,32,-15,1.37,19024.4
590,1500,24,-20,1.76,18864.8
780,780,70,0,0.86,15368.1
780,780,60,-5,1.08,17037.3
780,780,48,-10,1.18,19855.46667
780,780,40,-10,1.2,21478.63333
780,780,32,-15,1.61,25518.56667
780,780,24,-20,2.02,26733.03333
780,980,70,0,0.78,17434.06667
780,980,60,-5,0.87,18888.56667
780,980,48,-10,1.07,23710.6
780,980,40,-10,1.02,22545.3
780,980,32,-15,2.14,27364.56667
780,980,24,-20,1.36,27356.1
780,1180,70,0,0.81,15796.4
780,1180,60,-5,0.99,18939
780,1180,48,-10,1.14,20709.13333
780,1180,36,-10,1.13,23110.26667
780,1180,32,-15,1.37,24425.26667
780,1180,24,-20,1.76,25013.33333
780,1500,70,0,0.74,17014.43333
780,1500,60,-5,0.87,19594.13333
780,1500,48,-10,1.17,21250.03333
780,1500,40,-10,1.26,19598.63333
780,1500,32,-15,1.51,24987.4
780,1500,24,-20,1.89,26363.36667
980,980,70,0,0.81,16704.03333
980,980,56,-5,0.82,17611.83333
980,980,46,-10,0.92,21307.36667
980,980,35,-15,1.08,24223.4
980,980,32,-15,1.38,29405.9
980,980,26,-20,1.96,29041.96667
980,1180,70,0,0.75,18455
980,1180,60,-5,0.8,19700.86667
980,1180,48,-10,1.11,22530.46667
980,1180,36,-10,1.18,24989.9
980,1180,32,-15,1.49,25595.46667
980,1180,24,-20,1.8,26216.23333
980,1500,70,0,0.98,18919.13333
980,1500,60,-5,1.07,21850
980,1500,48,-10,1.24,20703.16667
980,1500,40,-10,1.32,19467.65
980,1500,32,-15,1.52,20497.1
980,1500,24,-20,2.04,26190.5
1180,1180,70,0,0.95,17022.1
1180,1180,60,-5,1.12,19561.23333
1180,1180,48,-10,1.29,22884.23333
1180,1180,36,-10,1.23,23193.76667
1180,1180,32,-15,1.57,27353.16667
1180,1180,24,-20,1.95,27321.03333
1180,1500,70,0,0.86,18616.56667
1180,1500,60,-5,0.88,20442.23333
1180,1500,48,-10,1.27,26284.26667
1180,1500,40,-10,1.36,26052.83333
1180,1500,32,-15,1.61,26554.4
1180,1500,24,-20,2.42,28619.66667
1500,1500,72,0,0.87,20957.93333
1500,1500,60,-5,0.96,23140.03333
1500,1500,48,-10,1.27,25982.16667
1500,1500,32,-15,1.49,27822.4
1500,1500,24,-20,1.94,28546.3
1500,1500,16,-25,1.78,28587.23333
